aletia_id,name,final_specialty
ALT-004571,Nerveblox,Anaesthesiology
ALT-006696,PMD-200,Anaesthesiology
ALT-001187,ScanNav Anatomy Peripheral Nerve Block,Anaesthesiology
ALT-006473,Cardiac CT Function Software Application,Cardiology
ALT-006754,AI4CMR v1.0,Cardiology
ALT-001183,Caption Guidance,Cardiology
ALT-006976,Caption Interpretation Automated Ejection Fraction Software,Cardiology
ALT-006361,CaRi-Plaque,Cardiology
ALT-007062,iNtuition-Structural Heart Module,Cardiology
ALT-006353,Myomics,Cardiology
ALT-006083,syngo Dynamics (Version VA41D),Cardiology
ALT-006834,TOMTEC-ARENA,Cardiology
ALT-006286,Vivid Pioneer,Cardiology
ALT-006365,Vivid T9/Vivid T8,Cardiology
ALT-006193,ACE (AI-Cirrhosis-ECG) 2.0,Cardiology
ALT-006170,AI Stethoscope,Cardiology
ALT-006150,AI-ECG Guided Care (SmartECG-AFrisk),Cardiology
ALT-006153,Belun Ring,Cardiology
ALT-006175,Cardiologs,Cardiology
ALT-006159,Cardiologs Platform,Cardiology
ALT-006179,Cardiologs Platform,Cardiology
ALT-006157,DeepECG plateform diagnosis & recommendations,Cardiology
ALT-006158,imPulse™ Tor System,Cardiology
ALT-001015,AI-ECG Platform,Cardiology
ALT-001026,AI-ECG Tracker,Cardiology
ALT-004594,Assert-IQ  (DM5000); Assert-IQ (DM5300); Assert-IQ (DM5500); Merlin.net (MN7000),Cardiology
ALT-004668,Assert-IQ (DM5100),Cardiology
ALT-006487,ASSURE Wearable ECG,Cardiology
ALT-006779,Atrial Fibrillation History Feature,Cardiology
ALT-006722,Avive Automated External Defibrillator (AED) System,Cardiology
ALT-007002,BodyGuardian Remote Monitoring System,Cardiology
ALT-006245,Bunkerhill ECG-EF,Cardiology
ALT-004457,Cardiac Guidance,Cardiology
ALT-003499,Cardio-TriTest v6.5,Cardiology
ALT-004559,Cardiologs Holter Platform,Cardiology
ALT-001155,Cardiology information system application software,Cardiology
ALT-001156,Cardiology information system application software,Cardiology
ALT-001157,Cardiology information system application software,Cardiology
ALT-001174,CardioVision,Cardiology
ALT-006608,Cleerly ISCHEMIA,Cardiology
ALT-006050,Corvair,Cardiology
ALT-006609,CorVista® System,Cardiology
ALT-006805,DEEPVESSEL FFR,Cardiology
ALT-001087,ECG-AI Low Ejection Fraction (LEF) 12-Lead algorithm (1010),Cardiology
ALT-004342,EchoGo Amyloidosis (1.0),Cardiology
ALT-006424,EchoGo Heart Failure (2.0),Cardiology
ALT-007025,Eko Analysis Software,Cardiology
ALT-001145,Electrocardiographic long-term ambulatory recording analyser application software,Cardiology
ALT-004443,Empatica Health Monitoring Platform; EmbracePlus; Empatica Care; Care Portal,Cardiology
ALT-007097,FFRangio System,Cardiology
ALT-003020,FFRct,Cardiology
ALT-007114,FibriCheck,Cardiology
ALT-006935,HeartFlow Analysis,Cardiology
ALT-003567,HeartFlow FFRct Analysis,Cardiology
ALT-004211,Impala,Cardiology
ALT-006313,InVision Precision Cardiac Amyloid,Cardiology
ALT-004022,LINQ II Insertable Cardiac Monitor,Cardiology
ALT-006656,"LINQ II Insertable Cardiac Monitor, CareLink SmartSync LINQ II ICM Application",Cardiology
ALT-001034,"LINQ II Insertable Cardiac Monitor, Zelda AI ECG Classification System",Cardiology
ALT-001065,Low Ejection Fraction AI-ECG Algorithm,Cardiology
ALT-003525,PeraMobile and PeraWatch,Cardiology
ALT-007130,PeraServer and PeraTrend,Cardiology
ALT-003522,physIQ Heart Rhythm and Respiratory Module,Cardiology
ALT-006337,QFR (3.0),Cardiology
ALT-003180,Reveal LINQ,Cardiology
ALT-001055,"Reveal LINQ Insertable Cardiac Monitor, LINQ II Insertable Cardiac Monitor, AccuRhythm AI ECG Classification System",Cardiology
ALT-007148,"Rooti Rx ECG Event Recorder, Rooti Link APP Software",Cardiology
ALT-003520,"RTHawk, HeartVista Cardiac Package",Cardiology
ALT-006965,RX-1 Rhythm Express Remote Cardiac Monitoring System,Cardiology
ALT-004123,Samsung ECG Monitor Application with Irregular Heart Rhythm Notification,Cardiology
ALT-007191,SENSICARDIAC MOBI DIAGNOSTIC HEART MURMUR APPLICATION,Cardiology
ALT-007090,Study Watch,Cardiology
ALT-007022,Study Watch with Irregular Pulse Monitor,Cardiology
ALT-006757,"Study Watch with Irregular Pulse Monitor (Home), Study Watch with Irregular Pulse Monitor",Cardiology
ALT-006468,Tempus ECG-AF,Cardiology
ALT-004538,Tempus ECG-Low EF,Cardiology
ALT-006410,TeraRecon Cardiac.Chambers.MR (1.0.0),Cardiology
ALT-004539,Us2.ca,Cardiology
ALT-007203,VISENSIA,Cardiology
ALT-006587,Vivio® LVEDP System,Cardiology
ALT-006618,Viz HCM,Cardiology
ALT-003261,WAVE Clinical Platform,Cardiology
ALT-004339,Withings ECG App,Cardiology
ALT-004144,Withings Scan Monitor 2.0,Cardiology
ALT-004602,X1-FFR,Cardiology
ALT-003444,"Zio AT ECG Monitoring System, ZEUS System",Cardiology
ALT-006896,Zio ECG Utilization Software (ZEUS) System,Cardiology
ALT-003556,"Zio XT ECG Monitoring System, Zio AT ECG Monitoring System",Cardiology
ALT-007144,CEREC Ortho Software,Dentistry
ALT-006480,DentalMonitoring,Dentistry
ALT-006898,Overjet Dental Assist,Dentistry
ALT-006482,RAYDENT SW,Dentistry
ALT-001088,Videa Dental AI,Dentistry
ALT-006553,Videa Dental Assist,Dentistry
ALT-006524,X-Guide Surgical Navigation System,Dentistry
ALT-007155,SPECTRALMD DEEPVIEW WOUND IMAGING SYSTEM 2.0,Dermatology
ALT-006152,Deep Ensemble for the Recognition of Malignancy (DERM),Dermatology
ALT-006178,Deep Ensemble for the Recognition of Malignancy (DERM),Dermatology
ALT-006151,Diagnostic algorithms,Dermatology
ALT-006708,Alpha Control Liner System (ACLS),Dermatology
ALT-007072,COMPLETE CONTROL System Gen2,Dermatology
ALT-006146,Deep Ensemble for Recognition of Malignancy (DERM) — AI-based standalone software that analyses dermoscopic images of skin lesions to return a suspected diagnosis and referral recommendation. Outputs (refer / discharge / monitor) may be issued without a second read from a human clinician. Indicated for patients aged 18+ with suspicion of skin cancer.,Dermatology
ALT-006537,DermaSensor,Dermatology
ALT-007199,MELAFIND,Dermatology
ALT-007053,Myo Plus,Dermatology
ALT-007157,NEVISENSE,Dermatology
ALT-007112,Sense System with IBT Electrodes,Dermatology
ALT-006190,Application Validation,Endocrinology
ALT-007179,Dario Blood Glucose Monitoring System,Endocrinology
ALT-007118,DIP/U.S. Urine Analysis Test System,Endocrinology
ALT-007124,DreaMed Advisor Pro,Endocrinology
ALT-007168,One Drop Blood Glucose Monitoring System,Endocrinology
ALT-006556,NaviCam ProScan,Gastroenterology
ALT-004070,Velacur,Gastroenterology
ALT-006154,colonoscopy withdrawal with the ADS monitoring,Gastroenterology
ALT-006149,Confocal Laser Endomicroscopy,Gastroenterology
ALT-004312,CADDIE,Gastroenterology
ALT-003857,EndoScreener,Gastroenterology
ALT-004138,EW10-EC02 Endoscopy Support Program,Gastroenterology
ALT-001184,GI Genius,Gastroenterology
ALT-004305,GI Genius Module 100 (GGM100.US); GI Genius Module 200 (GGM200.US); ColonPRO 4.0 (CPRO40.US),Gastroenterology
ALT-004402,GI Genius Module 100 (GGM100.US); GI Genius Module 200 (GGM200.US); ColonPRO 4.0 (CPRO40.US); GI Genius Module 300 (GGM300-US); ColonPRO 4.0 (CPRO40S-US),Gastroenterology
ALT-004163,GI Genius System 100 and GI Genius System 200,Gastroenterology
ALT-004545,HyperSnap Surgical System (HSS),Gastroenterology
ALT-004420,Maestro System (REF100),Gastroenterology
ALT-004525,MAGENTIQ-COLO (ME-APDS),Gastroenterology
ALT-004080,ME-APDS; MAGENTIQ-COLO,Gastroenterology
ALT-003933,SKOUT Software,Gastroenterology
ALT-004587,SKOUT system,Gastroenterology
ALT-001598,CELLAVISION DM96 AUTOMATIC HEMATOLOGY ANALYZER,Hematology
ALT-001273,DIFFMASTER OCTAVIA AUTOMATIC HEMATOLOGY ANALYZER,Hematology
ALT-004514,Opulus Lymphoma Precision,Hematology
ALT-007057,Critical Care Suite,Intensive Care
ALT-001036,Critical Care Suite with Endotracheal Tube Positing AI algorithm,Intensive Care
ALT-001054,"Critical Care Suite with Pneumothorax Detection AI Algorithm, Critical Care Suite 2.1, Critical Care Suite",Intensive Care
ALT-006635,KidneyIntelX.dkd,Nephrology
ALT-004086,"Brainlab Elements  Trajectory Planning (2.6), Elements Stereotaxy, Elements Lead Localization, Elements Trajectory Planning Cranial",Neurology
ALT-006174,EEG Headset,Neurology
ALT-006166,Empatica EmbracePlus,Neurology
ALT-006181,Presage care,Neurology
ALT-003637,7D Surgical System Cranial Biopsy and Ventricular Catheter Placement Application,Neurology
ALT-007171,Ahead 300,Neurology
ALT-004106,"Alignment System Cranial, Alignment Software Cranial, Cirq Alignment Software Cranial Biopsy, Cirq Alignment Software Cranial sEEG, Varioguide Alignment Software Cranial",Neurology
ALT-004313,ARVIS® Shoulder,Neurology
ALT-006543,autoSCORE,Neurology
ALT-006335,autoSCORE (V 2.0.0),Neurology
ALT-006567,Brainomix 360 Triage Stroke,Neurology
ALT-007181,Brainscope Ahead 200,Neurology
ALT-007052,BrainScope TBI,Neurology
ALT-006539,BrainSee,Neurology
ALT-006133,Ceribell Delirium Monitor System,Neurology
ALT-004082,Ceribell Status Epilepticus Monitor,Neurology
ALT-004264,ClearPoint System (Software Version 2.2),Neurology
ALT-004071,"Cranial Navigation, Navigation Software Cranial, Navigation Software Craniofacial, Cranial EM System, Automatic Registration iMRI",Neurology
ALT-004404,DeepRESP,Neurology
ALT-004085,Dreem 3S,Neurology
ALT-001151,Electroencephalographic diagnosis-support software,Neurology
ALT-006421,encevis (2.1),Neurology
ALT-003805,EnsoSleep,Neurology
ALT-004428,Falcon HST,Neurology
ALT-004430,FLASH EVD System (10-0002),Neurology
ALT-006876,InferRead CT Stroke.AI,Neurology
ALT-004597,Mazor X System / Mazor X Stealth Edition,Neurology
ALT-006263,Methinks CTA Stroke,Neurology
ALT-006295,Methinks NCCT Stroke,Neurology
ALT-004373,NeuroMatch,Neurology
ALT-006518,OTS Hip,Neurology
ALT-007103,Persyst 14 EEG Review and Analysis Software,Neurology
ALT-006689,Rapid NCCT Stroke,Neurology
ALT-001060,REMI AI Discrete Detection Module,Neurology
ALT-001071,REMI-AI Rapid Detection Module (REMI-AI RDM),Neurology
ALT-004275,SleepStageML,Neurology
ALT-004002,SomnoMetry,Neurology
ALT-004087,"Spine Planning (2.0), Elements Spine Planning, Elements Planning Spine",Neurology
ALT-006382,TMINI Miniature Robotic System,Neurology
ALT-006650,Auto Segmentation,Oncology
ALT-001039,MVision AI Segmentation,Oncology
ALT-006452,AISAP Cardio V1.0,Oncology
ALT-006303,Allix5,Oncology
ALT-007142,Arterys Oncology DL,Oncology
ALT-006693,Brainomix 360 e-ASPECTS,Oncology
ALT-004272,CINA-ASPECTS,Oncology
ALT-007195,DUNE MEDICAL DEVICES MARGINPROBE SYSTEM,Oncology
ALT-006938,EchoGo Pro,Oncology
ALT-006417,EchoSolv AS,Oncology
ALT-007020,"Ethos Treatment Management, Ethos Treatment Planning, Ethos Radiotherapy System, Halcyon",Oncology
ALT-004421,Fetal EchoScan,Oncology
ALT-004584,Fetal EchoScan (v1.1),Oncology
ALT-004527,GENESEEQPRIME NGS Tumor Profiling Assay (FFPE) (GS6005),Oncology
ALT-006933,Imagio Breast Imaging System,Oncology
ALT-003907,Koios DS,Oncology
ALT-007066,Koios DS for Breast,Oncology
ALT-007205,LUMA CERVICAL IMAGING SYSTEM,Oncology
ALT-006919,"Optellum Virtual Nodule Clinic, Optellum software, Optellum platform",Oncology
ALT-001178,QuantX,Oncology
ALT-006984,Rapid ASPECTS,Oncology
ALT-006532,Rapid ASPECTS (v3),Oncology
ALT-001086,"RT Elements  (4.5); (Elements) Multiple Brain Mets SRS; (Elements) Cranial SRS; (Elements) Spine SRS; (Elements) Cranial SRS w/ Cones; (Elements) RT Planning Platform; (Elements) Dose Review; (Elements) Retreatment Review; Elements Segmentation [Cranial , Basal Ganglia, Head & Neck, Pelvic, Spine, Thoracic & Spine, Extracranial] RT; Elements AI Tumor Segmentation RT; Elements SmartBrush [Angio, Spine] RT; Elements Object Management RT",Oncology
ALT-006359,Sonio Suspect,Oncology
ALT-006379,SpotLight/SpotLight Duo with Low Dose Lung Cancer Screening Option,Oncology
ALT-004542,StrokeSENS ASPECTS Software Application,Oncology
ALT-006653,xT CDx,Oncology
ALT-006180,IOL-MASTER 700,Ophthalmology
ALT-006156,Macusense Assessment Software,Ophthalmology
ALT-006182,MONA algorithm,Ophthalmology
ALT-006183,Retinal multi-diseases diagnosed by DL algorithm,Ophthalmology
ALT-006720,AEYE-DS,Ophthalmology
ALT-003577,CLARUS,Ophthalmology
ALT-004515,CLARUS (700),Ophthalmology
ALT-006973,EyeArt,Ophthalmology
ALT-006893,IDx-DR,Ophthalmology
ALT-007133,IDx-DR,Ophthalmology
ALT-007183,IRIS INTELLIGENT RETINAL IMAGING SYSTEM,Ophthalmology
ALT-006485,Notal Vision Home Optical Coherence Tomography (OCT) System,Ophthalmology
ALT-007107,"NvisionVLE Imaging System, NvisionVLE Optical Probe, NvisionVLE Inflation System",Ophthalmology
ALT-001117,Ophthalmic image analysis software,Ophthalmology
ALT-001118,Ophthalmic image analysis software,Ophthalmology
ALT-001143,Ophthalmology PACS software,Ophthalmology
ALT-006895,"OPTIS Mobile Next Imaging System, OPTIS Integrated Next Imaging System",Ophthalmology
ALT-006925,"OTIS 2.1 Optical Coherence Tomography System, THiA Optical Coherence Tomography System",Ophthalmology
ALT-001114,Retinal image analysis software,Ophthalmology
ALT-001115,Retinal image analysis software,Ophthalmology
ALT-001116,Retinal image analysis software,Ophthalmology
ALT-004308,Automatic Registration,Orthopaedics
ALT-007120,NuVasive Pulse System,Orthopaedics
ALT-001050,AI-Rad Companion (Musculoskeletal),Orthopaedics
ALT-007006,Al-Rad Companion (Musculoskeletal),Orthopaedics
ALT-004519,ARVIS® Shoulder,Orthopaedics
ALT-001153,Osteoporosis/fracture risk assessment interpretive software,Orthopaedics
ALT-004626,SpineAR SNAP (SyncAR Spine),Orthopaedics
ALT-006550,United Orthopedic Knee Patient Specific Instrumentation,Orthopaedics
ALT-004379,xvision Spine System,Orthopaedics
ALT-006654,ENT EM,Otolaryngology
ALT-006085,Canvas Dx,Paediatrics
ALT-001185,Cognoa ASD Diagnosis Aid,Paediatrics
ALT-006775,EarliPoint System,Paediatrics
ALT-004295,Overjet Caries Assist-Pediatric,Paediatrics
ALT-006321,Second Opinion® Pediatric,Paediatrics
ALT-006177,EBUS-Elastography,Pathology
ALT-006155,ROSE-AI diagnostic system,Pathology
ALT-006173,"Standard, high-definition colonoscopy with the use of CADe assistance",Pathology
ALT-001189,ArteraAI Prostate,Pathology
ALT-004361,Galen Second Read,Pathology
ALT-001005,Genius Digital Diagnostics System with the Genius Cervical AI algorithm,Pathology
ALT-006208,INFINITT DPS,Pathology
ALT-001186,Paige Prostate,Pathology
ALT-007212,PAPNET Testing System,Pathology
ALT-001158,Pathology information system application software,Pathology
ALT-007202,PATHWORK DIAGNOSTICS TISSUE OF ORIGIN TEST,Pathology
